idx,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
1,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33M,"1,000,000+",Free,0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
2,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39M,"5,000,000+",Free,0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up
3,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12M,"100,000+",Free,0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
4,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25M,"500,000+",Free,0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
5,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1M,"100,000+",Free,0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
6,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11M,"100,000+",Free,0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up
7,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11M,"100,000+",Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
8,Floor Plan Creator,ART_AND_DESIGN,4.1,36639,Varies with device,"5,000,000+",Free,0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up
9,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
10,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
11,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
12,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
13,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up
14,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
15,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
16,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device
17,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up
18,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
19,Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",Free,0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
20,Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
21,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,"10,000,000+",Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device
22,Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
23,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
24,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device
25,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
26,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device
27,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",Free,0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
28,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device
29,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up
30,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
31,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up
32,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up
33,Ancestry,BOOKS_AND_REFERENCE,4.3,64513,Varies with device,"5,000,000+",Free,0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device
34,HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up
35,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up
36,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up
37,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
38,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",Free,0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up
39,Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device
40,Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
41,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9M,"500,000+",Free,0,Everyone,Business,"July 8, 2018",3.3,4.1 and up
42,Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up
43,Facebook Pages Manager,BUSINESS,4.0,1279184,Varies with device,"50,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
44,Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device
45,Call Blocker,BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up
46,Easy Installer - Apps On SD,BUSINESS,4.1,23055,Varies with device,"5,000,000+",Free,0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device
47,Facebook Ads Manager,BUSINESS,4.1,19023,Varies with device,"1,000,000+",Free,0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up
48,Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
49,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
50,Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up
51,FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up
52,HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
53,Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
54,Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
55,AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
56,Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
57,Cisco Webex Meetings,BUSINESS,4.4,108741,28M,"10,000,000+",Free,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up
58,Cisco Webex Teams,BUSINESS,4.2,1661,46M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up
59,DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
60,"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up
61,Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
62,Hangouts,COMMUNICATION,4.0,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
63,Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
64,Contacts,COMMUNICATION,4.3,66602,Varies with device,"50,000,000+",Free,0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up
65,Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1
66,Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",Free,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up
67,Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
68,Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
69,Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device
70,Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
71,Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up
72,AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device
